Mem_used Mem_free Mem_total Mem_Disp Date Time Elapsed_time
1574788 3552040 7088316 5273068 2022-12-26 22:06:11 2100
1574300 3552516 7088316 5273560 2022-12-26 22:06:16 2105
1573576 3553224 7088316 5274384 2022-12-26 22:06:21 2110
1573812 3552972 7088316 5274144 2022-12-26 22:06:26 2115
1573116 3553656 7088316 5274748 2022-12-26 22:06:31 2120
1572464 3554292 7088316 5275400 2022-12-26 22:06:36 2125
1573740 3553004 7088316 5274124 2022-12-26 22:06:41 2130
1574676 3552048 7088316 5273184 2022-12-26 22:06:46 2135
1572664 3554048 7088316 5275188 2022-12-26 22:06:51 2140
1573684 3553012 7088316 5274176 2022-12-26 22:06:56 2145
1573572 3553112 7088316 5274284 2022-12-26 22:07:02 2150
1573520 3553148 7088316 5274336 2022-12-26 22:07:07 2155
1572372 3554284 7088316 5275496 2022-12-26 22:07:12 2160
1572324 3554320 7088316 5275536 2022-12-26 22:07:17 2165
1573252 3553368 7088316 5274616 2022-12-26 22:07:22 2170
1572396 3554216 7088316 5275480 2022-12-26 22:07:27 2175
1573764 3552836 7088316 5274108 2022-12-26 22:07:32 2180
1571876 3554708 7088316 5275996 2022-12-26 22:07:37 2185
